danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,target
0.615,0.159,2,-18.066,1,0.0339,0.852,6.74e-06,0.0991,0.241,129.971,audio_features,6IGejZNdxjCsWQumaHD6LE,spotify:track:6IGejZNdxjCsWQumaHD6LE,https://api.spotify.com/v1/tracks/6IGejZNdxjCsWQumaHD6LE,https://api.spotify.com/v1/audio-analysis/6IGejZNdxjCsWQumaHD6LE,203077,4,1
0.449,0.435,9,-9.049,1,0.0306,0.359,0.00324,0.126,0.606,134.813,audio_features,18ceNppzrI5kK0IgtexD16,spotify:track:18ceNppzrI5kK0IgtexD16,https://api.spotify.com/v1/tracks/18ceNppzrI5kK0IgtexD16,https://api.spotify.com/v1/audio-analysis/18ceNppzrI5kK0IgtexD16,332907,4,1
0.322,0.488,2,-10.088,1,0.0264,0.0242,0.00029,0.31,0.416,97.134,audio_features,3ORuyaRQOM4kthHPdvdKxW,spotify:track:3ORuyaRQOM4kthHPdvdKxW,https://api.spotify.com/v1/tracks/3ORuyaRQOM4kthHPdvdKxW,https://api.spotify.com/v1/audio-analysis/3ORuyaRQOM4kthHPdvdKxW,215333,4,1
0.451,0.97,0,-4.858,1,0.0605,0.000372,0.105,0.222,0.532,113.39,audio_features,4tf04WrZTy60CawyvueIdK,spotify:track:4tf04WrZTy60CawyvueIdK,https://api.spotify.com/v1/tracks/4tf04WrZTy60CawyvueIdK,https://api.spotify.com/v1/audio-analysis/4tf04WrZTy60CawyvueIdK,158293,4,1
0.586,0.317,7,-11.8,1,0.0293,0.39,0.722,0.0883,0.177,102.034,audio_features,6bJ4x48rEaF6brX20Ho3pY,spotify:track:6bJ4x48rEaF6brX20Ho3pY,https://api.spotify.com/v1/tracks/6bJ4x48rEaF6brX20Ho3pY,https://api.spotify.com/v1/audio-analysis/6bJ4x48rEaF6brX20Ho3pY,145911,4,1
0.556,0.787,2,-5.006,1,0.0305,0.0486,2.05e-05,0.0966,0.571,126.356,audio_features,7bLiOJtUpzZ1AIBFtCRQYk,spotify:track:7bLiOJtUpzZ1AIBFtCRQYk,https://api.spotify.com/v1/tracks/7bLiOJtUpzZ1AIBFtCRQYk,https://api.spotify.com/v1/audio-analysis/7bLiOJtUpzZ1AIBFtCRQYk,259800,4,1
0.703,0.578,1,-9.103,1,0.0728,0.446,0.0024,0.102,0.67,105.204,audio_features,2FwDApgXk91kXvqy2oB7dz,spotify:track:2FwDApgXk91kXvqy2oB7dz,https://api.spotify.com/v1/tracks/2FwDApgXk91kXvqy2oB7dz,https://api.spotify.com/v1/audio-analysis/2FwDApgXk91kXvqy2oB7dz,252734,4,1
0.523,0.18,2,-13.981,1,0.0429,0.93,0.00537,0.109,0.537,88.613,audio_features,0MIqB2F979ng3e9fLKEAt6,spotify:track:0MIqB2F979ng3e9fLKEAt6,https://api.spotify.com/v1/tracks/0MIqB2F979ng3e9fLKEAt6,https://api.spotify.com/v1/audio-analysis/0MIqB2F979ng3e9fLKEAt6,205657,4,1
0.534,0.532,11,-10.281,1,0.0339,0.486,0.953,0.0834,0.835,118.359,audio_features,1aYDZpNwbkWa2ci01qbReB,spotify:track:1aYDZpNwbkWa2ci01qbReB,https://api.spotify.com/v1/tracks/1aYDZpNwbkWa2ci01qbReB,https://api.spotify.com/v1/audio-analysis/1aYDZpNwbkWa2ci01qbReB,122859,4,1
0.651,0.726,8,-7.583,1,0.312,0.576,0.0152,0.272,0.657,89.305,audio_features,1cQCdozRmaErXowT6iDQML,spotify:track:1cQCdozRmaErXowT6iDQML,https://api.spotify.com/v1/tracks/1cQCdozRmaErXowT6iDQML,https://api.spotify.com/v1/audio-analysis/1cQCdozRmaErXowT6iDQML,266394,4,1
0.578,0.361,2,-17.913,1,0.0268,0.905,0.763,0.105,0.14,98.148,audio_features,1kMdjazlpwv1uDnblbHjGh,spotify:track:1kMdjazlpwv1uDnblbHjGh,https://api.spotify.com/v1/tracks/1kMdjazlpwv1uDnblbHjGh,https://api.spotify.com/v1/audio-analysis/1kMdjazlpwv1uDnblbHjGh,88800,4,1
0.455,0.302,0,-9.323,1,0.0308,0.252,0.0,0.084,0.435,173.736,audio_features,4syD7nYfrd11IFUZ9q4UvM,spotify:track:4syD7nYfrd11IFUZ9q4UvM,https://api.spotify.com/v1/tracks/4syD7nYfrd11IFUZ9q4UvM,https://api.spotify.com/v1/audio-analysis/4syD7nYfrd11IFUZ9q4UvM,464432,4,1
0.47,0.792,5,-6.242,0,0.411,0.74,3.3e-05,0.708,0.559,180.685,audio_features,4S6Bo2c9FzVaq0vdqqLqgU,spotify:track:4S6Bo2c9FzVaq0vdqqLqgU,https://api.spotify.com/v1/tracks/4S6Bo2c9FzVaq0vdqqLqgU,https://api.spotify.com/v1/audio-analysis/4S6Bo2c9FzVaq0vdqqLqgU,60867,4,1
0.789,0.706,11,-4.233,0,0.0429,0.112,1.71e-05,0.0586,0.638,125.911,audio_features,2ENexcMEMsYk0rVJigVD3i,spotify:track:2ENexcMEMsYk0rVJigVD3i,https://api.spotify.com/v1/tracks/2ENexcMEMsYk0rVJigVD3i,https://api.spotify.com/v1/audio-analysis/2ENexcMEMsYk0rVJigVD3i,235493,4,1
0.628,0.598,2,-5.483,1,0.119,0.0451,3.29e-06,0.119,0.0603,135.047,audio_features,1Fi3GQIOz0JUygjNWe7oY3,spotify:track:1Fi3GQIOz0JUygjNWe7oY3,https://api.spotify.com/v1/tracks/1Fi3GQIOz0JUygjNWe7oY3,https://api.spotify.com/v1/audio-analysis/1Fi3GQIOz0JUygjNWe7oY3,256424,4,1
0.602,0.612,0,-8.409,1,0.0335,0.206,0.00607,0.107,0.453,122.062,audio_features,2QhURnm7mQDxBb5jWkbDug,spotify:track:2QhURnm7mQDxBb5jWkbDug,https://api.spotify.com/v1/tracks/2QhURnm7mQDxBb5jWkbDug,https://api.spotify.com/v1/audio-analysis/2QhURnm7mQDxBb5jWkbDug,136867,4,1
0.46,0.389,0,-11.603,1,0.031,0.349,0.0,0.0533,0.606,123.213,audio_features,3k63RLvRgkgPGx0keOH3P6,spotify:track:3k63RLvRgkgPGx0keOH3P6,https://api.spotify.com/v1/tracks/3k63RLvRgkgPGx0keOH3P6,https://api.spotify.com/v1/audio-analysis/3k63RLvRgkgPGx0keOH3P6,159973,4,1
0.402,0.732,5,-4.665,1,0.0484,0.0033,0.0,0.108,0.472,161.032,audio_features,22bPsP2jCgbLUvh82U0Z3M,spotify:track:22bPsP2jCgbLUvh82U0Z3M,https://api.spotify.com/v1/tracks/22bPsP2jCgbLUvh82U0Z3M,https://api.spotify.com/v1/audio-analysis/22bPsP2jCgbLUvh82U0Z3M,243137,4,1
